"data","candidato","valor","voto"
"2014-03-17","Aécio Neves",15,"total"
"2014-03-17","Dilma Rousseff",42,"total"
"2014-03-17","Eduardo Campos",7,"total"
"2014-03-17","Outros",4,"total"
"2014-04-03","Aécio Neves",15,"total"
"2014-04-03","Dilma Rousseff",41,"total"
"2014-04-03","Eduardo Campos",8,"total"
"2014-04-03","Outros",4,"total"
"2014-04-08","Aécio Neves",14,"total"
"2014-04-08","Dilma Rousseff",40,"total"
"2014-04-08","Eduardo Campos",8,"total"
"2014-04-08","Outros",5,"total"
"2014-04-14","Aécio Neves",15,"total"
"2014-04-14","Dilma Rousseff",38,"total"
"2014-04-14","Eduardo Campos",8,"total"
"2014-04-14","Outros",4,"total"
"2014-04-25","Aécio Neves",17,"total"
"2014-04-25","Dilma Rousseff",37,"total"
"2014-04-25","Eduardo Campos",9,"total"
"2014-04-25","Outros",5,"total"
"2014-04-26","Aécio Neves",18,"total"
"2014-04-26","Dilma Rousseff",36,"total"
"2014-04-26","Eduardo Campos",9,"total"
"2014-04-26","Outros",4,"total"
"2014-05-08","Aécio Neves",20,"total"
"2014-05-08","Dilma Rousseff",37,"total"
"2014-05-08","Eduardo Campos",11,"total"
"2014-05-08","Outros",4,"total"
"2014-05-21","Aécio Neves",20,"total"
"2014-05-21","Dilma Rousseff",38,"total"
"2014-05-21","Eduardo Campos",10,"total"
"2014-05-21","Outros",5,"total"
"2014-06-01","Aécio Neves",20,"total"
"2014-06-01","Dilma Rousseff",37,"total"
"2014-06-01","Eduardo Campos",9,"total"
"2014-06-01","Outros",5,"total"
"2014-06-05","Aécio Neves",20,"total"
"2014-06-05","Dilma Rousseff",38,"total"
"2014-06-05","Eduardo Campos",10,"total"
"2014-06-05","Outros",5,"total"
"2014-06-07","Aécio Neves",21,"total"
"2014-06-07","Dilma Rousseff",37,"total"
"2014-06-07","Eduardo Campos",10,"total"
"2014-06-07","Outros",6,"total"
"2014-06-15","Aécio Neves",21,"total"
"2014-06-15","Dilma Rousseff",37,"total"
"2014-06-15","Eduardo Campos",10,"total"
