"data","instituto","candidato","valor","voto"
"2014-08-15T01","Datafolha","Dilma Rousseff",43,"total"
"2014-08-15T01","Datafolha","Marina Silva",47,"total"
"2014-08-24T01","MDA","Dilma Rousseff",38,"total"
"2014-08-24T01","MDA","Marina Silva",44,"total"
"2014-08-25T01","Ibope","Dilma Rousseff",36,"total"
"2014-08-25T01","Ibope","Marina Silva",45,"total"
"2014-08-29T01","Datafolha","Dilma Rousseff",40,"total"
"2014-08-29T01","Datafolha","Marina Silva",50,"total"
"2014-09-02T01","Ibope","Dilma Rousseff",39,"total"
"2014-09-02T01","Ibope","Marina Silva",46,"total"
"2014-09-03T01","Datafolha","Dilma Rousseff",41,"total"
"2014-09-03T01","Datafolha","Marina Silva",48,"total"
"2014-09-07T01","MDA","Dilma Rousseff",43,"total"
"2014-09-07T01","MDA","Marina Silva",46,"total"
"2014-09-08T01","Ibope","Dilma Rousseff",42,"total"
"2014-09-08T01","Ibope","Marina Silva",43,"total"
"2014-09-09T01","Datafolha","Dilma Rousseff",43,"total"
"2014-09-09T01","Datafolha","Marina Silva",47,"total"
"2014-09-14T01","Vox Populi","Dilma Rousseff",41,"total"
"2014-09-14T01","Vox Populi","Marina Silva",42,"total"
"2014-09-15T01","Ibope","Dilma Rousseff",40,"total"
"2014-09-15T01","Ibope","Marina Silva",43,"total"
"2014-09-18T01","Datafolha","Dilma Rousseff",44,"total"
"2014-09-18T01","Datafolha","Marina Silva",46,"total"
"2014-09-21T01","MDA","Dilma Rousseff",42,"total"
"2014-09-21T01","MDA","Marina Silva",41,"total"
"2014-09-22T01","Ibope","Dilma Rousseff",41,"total"
"2014-09-22T01","Ibope","Marina Silva",41,"total"
"2014-09-23T01","Vox Populi","Dilma Rousseff",46,"total"
"2014-09-23T01","Vox Populi","Marina Silva",39,"total"
"2014-09-26T01","Datafolha","Dilma Rousseff",47,"total"
"2014-09-26T01","Datafolha","Marina Silva",43,"total"
"2014-09-26T02","Sensus","Dilma Rousseff",41,"total"
"2014-09-26T02","Sensus","Marina Silva",40,"total"
"2014-09-28T01","MDA","Dilma Rousseff",48,"total"
"2014-09-28T01","MDA","Marina Silva",39,"total"
"2014-08-15T01","Datafolha","Dilma Rousseff",48,"valido"
"2014-08-15T01","Datafolha","Marina Silva",52,"valido"
"2014-08-24T01","MDA","Dilma Rousseff",46,"valido"
"2014-08-24T01","MDA","Marina Silva",54,"valido"
"2014-08-25T01","Ibope","Dilma Rousseff",44,"valido"
"2014-08-25T01","Ibope","Marina Silva",56,"valido"
"2014-08-29T01","Datafolha","Dilma Rousseff",44,"valido"
"2014-08-29T01","Datafolha","Marina Silva",56,"valido"
"2014-09-02T01","Ibope","Dilma Rousseff",46,"valido"
"2014-09-02T01","Ibope","Marina Silva",54,"valido"
"2014-09-03T01","Datafolha","Dilma Rousseff",46,"valido"
"2014-09-03T01","Datafolha","Marina Silva",54,"valido"
"2014-09-07T01","MDA","Dilma Rousseff",48,"valido"
"2014-09-07T01","MDA","Marina Silva",52,"valido"
"2014-09-08T01","Ibope","Dilma Rousseff",49,"valido"
"2014-09-08T01","Ibope","Marina Silva",51,"valido"
"2014-09-09T01","Datafolha","Dilma Rousseff",48,"valido"
"2014-09-09T01","Datafolha","Marina Silva",52,"valido"
"2014-09-14T01","Vox Populi","Dilma Rousseff",49,"valido"
"2014-09-14T01","Vox Populi","Marina Silva",51,"valido"
"2014-09-15T01","Ibope","Dilma Rousseff",48,"valido"
"2014-09-15T01","Ibope","Marina Silva",52,"valido"
"2014-09-18T01","Datafolha","Dilma Rousseff",49,"valido"
"2014-09-18T01","Datafolha","Marina Silva",51,"valido"
"2014-09-21T01","MDA","Dilma Rousseff",51,"valido"
"2014-09-21T01","MDA","Marina Silva",49,"valido"
"2014-09-22T01","Ibope","Dilma Rousseff",50,"valido"
"2014-09-22T01","Ibope","Marina Silva",50,"valido"
"2014-09-23T01","Vox Populi","Dilma Rousseff",54,"valido"
"2014-09-23T01","Vox Populi","Marina Silva",46,"valido"
"2014-09-26T01","Datafolha","Dilma Rousseff",52,"valido"
"2014-09-26T01","Datafolha","Marina Silva",48,"valido"
"2014-09-26T02","Sensus","Dilma Rousseff",51,"valido"
"2014-09-26T02","Sensus","Marina Silva",49,"valido"
"2014-09-28T01","MDA","Dilma Rousseff",55,"valido"
"2014-09-28T01","MDA","Marina Silva",45,"valido"
