"data","instituto","candidato","valor","voto"
"2014-02-17T01","Vox Populi","Aécio Neves",17,"total"
"2014-02-17T01","Vox Populi","Dilma Rousseff",41,"total"
"2014-02-17T01","Vox Populi","Eduardo Campos",6,"total"
"2014-02-17T01","Vox Populi","Outros",1,"total"
"2014-02-20T01","Datafolha","Aécio Neves",16,"total"
"2014-02-20T01","Datafolha","Dilma Rousseff",44,"total"
"2014-02-20T01","Datafolha","Eduardo Campos",9,"total"
"2014-02-20T01","Datafolha","Outros",5,"total"
"2014-03-17T01","Ibope","Aécio Neves",13,"total"
"2014-03-17T01","Ibope","Dilma Rousseff",40,"total"
"2014-03-17T01","Ibope","Eduardo Campos",6,"total"
"2014-03-17T01","Ibope","Outros",4,"total"
"2014-04-03T01","Datafolha","Aécio Neves",14,"total"
"2014-04-03T01","Datafolha","Dilma Rousseff",38,"total"
"2014-04-03T01","Datafolha","Eduardo Campos",10,"total"
"2014-04-03T01","Datafolha","Outros",5,"total"
"2014-04-08T01","Vox Populi","Aécio Neves",16,"total"
"2014-04-08T01","Vox Populi","Dilma Rousseff",40,"total"
"2014-04-08T01","Vox Populi","Eduardo Campos",8,"total"
"2014-04-08T01","Vox Populi","Outros",3,"total"
"2014-04-14T01","Ibope","Aécio Neves",14,"total"
"2014-04-14T01","Ibope","Dilma Rousseff",37,"total"
"2014-04-14T01","Ibope","Eduardo Campos",6,"total"
"2014-04-14T01","Ibope","Outros",5,"total"
"2014-04-25T01","MDA","Aécio Neves",21,"total"
"2014-04-25T01","MDA","Dilma Rousseff",36,"total"
"2014-04-25T01","MDA","Eduardo Campos",11,"total"
"2014-04-25T01","MDA","Outros",2,"total"
"2014-04-26T01","Sensus","Aécio Neves",20,"total"
"2014-04-26T01","Sensus","Dilma Rousseff",34,"total"
"2014-04-26T01","Sensus","Eduardo Campos",8,"total"
"2014-04-26T01","Sensus","Outros",4,"total"
"2014-05-08T01","Datafolha","Aécio Neves",20,"total"
"2014-05-08T01","Datafolha","Dilma Rousseff",37,"total"
"2014-05-08T01","Datafolha","Eduardo Campos",11,"total"
"2014-05-08T01","Datafolha","Outros",5,"total"
"2014-05-21T01","Ibope","Aécio Neves",20,"total"
"2014-05-21T01","Ibope","Dilma Rousseff",40,"total"
"2014-05-21T01","Ibope","Eduardo Campos",11,"total"
"2014-05-21T01","Ibope","Outros",6,"total"
"2014-06-01T01","Vox Populi","Aécio Neves",21,"total"
"2014-06-01T01","Vox Populi","Dilma Rousseff",40,"total"
"2014-06-01T01","Vox Populi","Eduardo Campos",8,"total"
"2014-06-01T01","Vox Populi","Outros",3,"total"
"2014-06-05T01","Datafolha","Aécio Neves",19,"total"
"2014-06-05T01","Datafolha","Dilma Rousseff",34,"total"
"2014-06-05T01","Datafolha","Eduardo Campos",7,"total"
"2014-06-05T01","Datafolha","Outros",6,"total"
"2014-06-07T01","Ibope","Aécio Neves",22,"total"
